Episode,TotalReward,Steps,DQNColor,OpponentType,QChosen,QMax,QMean,FinalResult,UsedFallback
329,-0.9,659,White,past,3.3607,3.3607,2.9257,1/2-1/2,0
330,-0.9,29,White,self,3.7233,3.7233,3.2159,1/2-1/2,0
331,-0.5352,376,White,random,3.7488,3.7488,3.5471,1/2-1/2,0
332,1,57,White,past,3.6983,3.6983,2.1432,1-0,0
333,-0.9,26,White,self,3.8956,3.8956,3.1623,1/2-1/2,0
334,-1,90,White,random,3.7051,3.7051,2.398,0-1,0
335,-0.9,506,White,past,3.3898,3.3898,2.8939,1/2-1/2,0
336,-0.9,57,White,self,3.6181,3.6181,2.4356,1/2-1/2,0
337,-1,436,White,random,3.2984,3.2984,3.0423,0-1,0
338,-0.9,119,White,self,3.7961,3.7961,1.9382,1/2-1/2,0
339,1,143,White,past,3.906,3.906,1.9032,1-0,0
340,-1,84,White,random,3.8981,3.8981,1.9955,0-1,0
341,-0.9,77,White,self,3.809,3.809,2.6113,1/2-1/2,0
342,-0.5264,568,White,random,3.4473,3.4473,2.2123,1/2-1/2,0
343,-0.9,542,White,past,3.417,3.417,3.417,1/2-1/2,0
344,-0.5248,389,White,random,3.5058,3.5058,1.1545,1/2-1/2,0
345,-0.9,36,White,self,3.6903,3.6903,2.7744,1/2-1/2,0
346,-0.9,37,White,self,4.0498,4.0498,2.5911,1/2-1/2,0
347,-0.9,51,White,self,3.8922,3.8922,2.3874,1/2-1/2,0
348,-0.9,108,White,self,3.5641,3.5641,2.5385,1/2-1/2,0
349,-0.9,96,White,self,3.6667,3.6667,2.4804,1/2-1/2,0
350,-0.52,745,White,random,3.6779,3.6779,1.6382,1/2-1/2,0
351,-0.5192,524,White,random,3.7642,3.7642,3.3117,1/2-1/2,0
352,-0.9,86,White,past,3.7959,3.7959,2.4486,1/2-1/2,0
353,-0.9,26,White,self,3.812,3.812,3.2523,1/2-1/2,0
354,-0.9,466,White,past,3.6503,3.6503,3.0619,1/2-1/2,0
355,-0.9,42,White,self,3.794,3.794,2.7519,1/2-1/2,0
356,-1,60,White,random,3.7574,3.7574,2.5041,0-1,0
357,-0.9,27,White,self,3.9041,3.9041,2.7531,1/2-1/2,0
358,-0.5136,494,White,random,3.4196,3.4196,1.6001,1/2-1/2,0
359,-0.9,66,White,self,3.8828,3.8828,2.9573,1/2-1/2,0
360,-0.512,485,White,random,3.4967,3.4967,2.8014,1/2-1/2,0
361,-0.9,135,White,self,3.4617,3.4617,1.596,1/2-1/2,0
362,-0.9,41,White,self,3.6822,3.6822,3.0367,1/2-1/2,0
363,-0.9,28,White,self,3.835,3.835,2.7459,1/2-1/2,0
364,-0.9,42,White,self,3.6583,3.6583,2.7266,1/2-1/2,0
